Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,57.040001000000004,61.099998,56.799999,58.299999,58.299999,116291800
2021-06-24,57.98,58.759997999999996,55.66,56.700001,56.700001,80351200
2021-06-25,55.75,56.290001000000004,52.970001,54.060001,54.060001,77596900
2021-06-28,55.099998,59.360001000000004,54.330002,58.110001000000004,58.110001000000004,99310200
2021-06-29,59.060001,61.0,56.18,56.43,56.43,63604100
2021-06-30,56.0,58.18,54.650002,56.68,56.68,59020600
2021-07-01,56.860001000000004,57.709998999999996,52.529999,54.220001,54.220001,57549900
2021-07-02,52.77,53.25,47.77,51.959998999999996,51.959998999999996,90271500
2021-07-06,53.459998999999996,55.07,49.700001,49.959998999999996,49.959998999999996,62370300
2021-07-07,47.700001,48.990002000000004,42.799999,45.07,45.07,95320200
2021-07-08,40.950001,49.790001000000004,38.759997999999996,47.939999,47.939999,145078200
2021-07-09,48.369999,48.919998,45.82,46.189999,46.189999,57858600
2021-07-12,44.290001000000004,46.549999,42.07,42.610001000000004,42.610001000000004,62986400
2021-07-13,40.57,42.139998999999996,38.700001,39.349998,39.349998,86807300
2021-07-14,38.799999,39.130001,33.240002000000004,33.43,33.43,137830700
2021-07-15,32.200001,37.400002,32.139998999999996,36.0,36.0,199584500
2021-07-16,37.830002,38.549999,34.299999,34.959998999999996,34.959998999999996,126825700
2021-07-19,32.950001,35.34,31.15,34.619999,34.619999,112891300
2021-07-20,35.139998999999996,44.389998999999996,35.130001,43.09,43.09,168673400
2021-07-21,41.799999,46.549999,40.110001000000004,40.779999,40.779999,158023700
2021-07-22,40.16,41.740002000000004,37.150002,37.240002000000004,37.240002000000004,93985900
2021-07-23,37.779999,38.400002,34.689999,36.990002000000004,36.990002000000004,85474800
2021-07-26,38.32,40.849998,37.57,40.290001000000004,40.290001000000004,97977600
2021-07-27,39.990002000000004,40.299999,37.060001,38.009997999999996,38.009997999999996,55288900
2021-07-28,37.41,39.560001,36.080002,38.900002,38.900002,71021400
2021-07-29,38.0,40.25,37.470001,38.130001,38.130001,59446200
2021-07-30,37.540001000000004,39.189999,36.790001000000004,37.02,37.02,52860100
2021-08-02,37.580002,38.48,35.009997999999996,35.200001,35.200001,59061700
2021-08-03,35.16,35.209998999999996,32.779999,33.59,33.59,61740100
2021-08-04,34.43,35.240002000000004,29.809998999999998,29.84,29.84,85496600
2021-08-05,31.08,34.119999,28.91,33.509997999999996,33.509997999999996,108565100
2021-08-06,33.419998,33.580002,31.57,32.700001,32.700001,52649800
2021-08-09,32.68,35.380001,32.349998,33.799999,33.799999,81054600
2021-08-10,36.900002,37.16,31.440001000000002,31.75,31.75,116181500
2021-08-11,31.58,31.91,29.4,31.549999,31.549999,69684300
2021-08-12,30.91,34.099998,30.75,33.07,33.07,71050000
2021-08-13,32.200001,34.48,31.879998999999998,33.470001,33.470001,57895500
2021-08-16,33.849998,36.18,32.709998999999996,35.689999,35.689999,86506600
2021-08-17,34.990002000000004,38.779999,34.59,37.16,37.16,86868900
2021-08-18,37.32,38.700001,36.490002000000004,36.549999,36.549999,57948000
2021-08-19,36.59,36.779999,33.330002,33.82,33.82,47920600
2021-08-20,33.900002,34.599998,32.200001,34.41,34.41,55312300
2021-08-23,35.029999,37.93,34.400002,36.779999,36.779999,75319300
2021-08-24,37.189999,48.200001,36.349998,44.259997999999996,44.259997999999996,228489600
2021-08-25,44.900002,48.299999,43.169998,43.959998999999996,43.959998999999996,209271500
2021-08-26,42.790001000000004,44.779999,40.07,40.310001,40.310001,109710200
2021-08-27,40.009997999999996,41.580002,39.389998999999996,40.84,40.84,72317700
2021-08-30,41.779999,45.709998999999996,41.279999,43.330002,43.330002,108370900
2021-08-31,44.16,47.16,44.049999,47.130001,47.130001,127659600
2021-09-01,47.16,47.849998,43.049999,43.689999,43.689999,82772400
2021-09-02,43.869999,44.900002,42.369999,44.380001,44.380001,67848800
2021-09-03,43.540001000000004,44.799999,42.470001,44.02,44.02,52109500
2021-09-07,45.0,47.93,44.880001,47.830002,47.830002,102133700
2021-09-08,47.029999,49.400002,45.73,47.400002,47.400002,97372900
2021-09-09,46.23,49.0,45.360001000000004,48.52,48.52,85960900
2021-09-10,49.150002,51.700001,48.950001,50.16,50.16,89984600
2021-09-13,51.82,52.790001000000004,50.349998,51.689999,51.689999,75111000
2021-09-14,50.900002,51.549999,46.959998999999996,47.299999,47.299999,65850300
2021-09-15,46.43,47.740002000000004,43.77,46.84,46.84,76214200
2021-09-16,46.48,48.689999,45.950001,46.040001000000004,46.040001000000004,57581900
2021-09-17,46.099998,46.380001,44.200001,44.200001,44.200001,68549000
2021-09-20,41.950001,43.330002,38.529999,40.290001000000004,40.290001000000004,70807600
2021-09-21,40.970001,41.490002000000004,37.650002,38.82,38.82,64696300
2021-09-22,38.5,40.57,37.740002000000004,40.080002,40.080002,52441300
2021-09-23,41.060001,41.849998,39.849998,39.98,39.98,41271100
2021-09-24,39.810001,40.52,39.25,40.009997999999996,40.009997999999996,32555900
2021-09-27,40.119999,40.630001,39.209998999999996,39.299999,39.299999,31225500
2021-09-28,38.900002,39.130001,36.880001,36.990002000000004,36.990002000000004,39523300
2021-09-29,37.25,38.259997999999996,35.369999,35.540001000000004,35.540001000000004,43007800
2021-09-30,35.189999,41.779999,33.740002000000004,38.060001,38.060001,102819800
2021-10-01,39.41,40.130001,37.75,38.459998999999996,38.459998999999996,65919000
2021-10-04,38.900002,39.029999,36.330002,36.77,36.77,39943200
2021-10-05,36.860001000000004,38.099998,36.189999,37.060001,37.060001,37702800
2021-10-06,36.360001000000004,37.650002,35.639998999999996,36.830002,36.830002,35450500
2021-10-07,36.779999,38.549999,36.599998,38.139998999999996,38.139998999999996,37704300
2021-10-08,37.919998,38.779999,37.060001,37.189999,37.189999,29498900
